pitcher_name,game_year,team,pitcher,player_name.x,role,appearences,threat,pressure,momentum,danger,hero_save,hero_hold,hero_losing,hero_total,threat_plus,pressure_plus,momentum_plus,danger_plus,hero_save_plus,hero_hold_plus,hero_losing_plus,hero_plus,player_name.y,avg_danger_final,total_appearances.x,player_name,avg_net_danger,total_appearances.y
Alex Faedo,2023,DET,656412,"Faedo, Alex",RP,15,0.487139475,-0.092514063,0.000673346,-0.04070344,1.060550207,0.181079061,0.7034602,1.945089468,106.1104131,98.40987191,59.39607234,101.5916132,99.01779197,93.38221257,105.8053589,97.7480391,"Faedo, Alex",-0.008550045,15,"Faedo, Alex",0.032153395,15
Alex Faedo,2024,DET,656412,"Faedo, Alex",RP,37,0.360919399,-0.103290416,0.003097913,-0.029713106,0.244444398,0.979225964,0.433191075,1.656861437,77.00336662,101.8358493,76.49519675,92.46892494,92.52744094,101.7913447,98.61001272,95.26458148,"Faedo, Alex",-0.012517117,37,"Faedo, Alex",0.017195989,37
Alex Lange,2023,DET,656638,"Lange, Alex",RP,67,0.445038161,-0.146470532,0.005104348,-0.054692916,3.06650939,2.352198334,0.304608008,5.723315732,96.73611811,116.8729477,94.2783512,114.0504156,113.7644546,121.624876,95.24622469,117.8598884,"Lange, Alex",-0.001518832,67,"Lange, Alex",0.053174084,67
Alex Lange,2024,DET,656638,"Lange, Alex",RP,21,0.414023485,-0.117307052,0.007282695,-0.042149665,0.582141396,0.234591275,0.286769141,1.103501812,90.78505156,106.7053019,113.9519606,103.459818,94.89265677,93.17841095,94.73610209,92.54794402,"Lange, Alex",-0.006253948,21,"Lange, Alex",0.035895718,21
Alex Vesia,2023,LAD,681911,"Vesia, Alex",RP,56,0.385353999,-0.092413403,0.006491693,-0.030303567,0.576816736,0.254068564,0.270522187,1.101407487,83.44681931,98.37542742,105.1999817,92.32965326,95.46166065,94.33168504,94.34384339,93.25704157,"Vesia, Alex",-0.013862343,56,"Vesia, Alex",0.016441223,56
Alex Vesia,2024,LAD,681911,"Vesia, Alex",RP,67,0.413381821,-0.107066374,0.005877933,-0.039797091,2.378801289,0.846477706,1.333630805,4.5589098,90.61852562,103.1476371,101.3783496,101.3807149,107.4763884,100.2558912,122.4331037,109.5117598,"Vesia, Alex",-0.006217259,67,"Vesia, Alex",0.033651885,67
Alex Young,2023,CIN,622065,"Young, Alex",RP,63,0.390282436,-0.099918195,0.007007743,-0.034404267,1.018038599,0.313608102,0.650810455,1.982457156,84.54418687,100.9434521,109.2624892,95.98167098,98.70527099,95.10619574,104.4115199,97.94695078,"Young, Alex",-0.022261994,63,"Young, Alex",0.012142271,63
Alex Young,2024,NYM,622065,"Young, Alex",RP,17,0.445445881,-0.047608617,0.006303414,-0.020719081,0.519864683,0,0.137968621,0.657833304,98.93985837,82.49170222,105.1866986,84.52039581,94.45647324,90.46497425,90.79926076,90.36000022,"Young, Alex",-0.004017684,17,"Young, Alex",0.016701398,17
Alexis Díaz,2023,CIN,664747,"Díaz, Alexis",RP,71,0.511859124,-0.164740382,0.005284041,-0.066757795,6.443976613,2.096274396,0.251390533,8.791641541,111.6144998,123.1246101,95.69295712,124.7952026,138.5936585,118.2957297,93.83735576,134.1928716,"Díaz, Alexis",-0.004282245,71,"Díaz, Alexis",0.06247555,71
Alexis Díaz,2024,CIN,664747,"Díaz, Alexis",RP,60,0.498443974,-0.130079876,0.005296934,-0.055657882,1.85754705,1.482694455,0.235709078,3.575950582,112.6940359,111.1426475,96.1779976,115.3977948,103.8255453,107.6147918,93.38519709,104.6860666,"Díaz, Alexis",-0.006483534,60,"Díaz, Alexis",0.049174348,60
